Pokemon,Type1,Type2,FastMove,FastType,ChargedMove,ChargedMoveType,Stamina,Attack,Defense,DPS,TDO,DPSxTDO,CP,Generation,Legendary,TypeColor
Dialga,Steel,Dragon,Dragon Breath,Dragon,Draco Meteor,Dragon,200,302,235,17.086,586.9,"10,027.20","4,029",4,TRUE,darkslategray4
Gengar,Ghost,Poison,Shadow Claw,Ghost,Sludge Bomb,Poison,120,261,146,17.072,273.5,"4,669.20","2,619",1,FALSE,midnightblue
Rampardos,Rock,,Zen Headbutt,Psychic,Rock Slide,Rock,194,295,118,17.021,342.7,"5,833.70","3,298",4,FALSE,sienna4
Mewtwo,Psychic,,Confusion,Psychic,Thunderbolt,Electric,212,300,180,16.947,481.9,"8,166.60","3,982",1,TRUE,deeppink1
Dragonite,Dragon,Flying,Dragon Tail,Dragon,Draco Meteor,Dragon,182,263,199,16.876,498.3,"8,409.80","3,581",1,FALSE,cornflowerblue
Darkrai,Dark,,Snarl,Dark,Shadow Ball,Ghost,140,285,180,16.801,464.4,"7,802.20","3,739",4,TRUE,gray0
Gengar,Ghost,Poison,Hex,Ghost,Shadow Ball,Ghost,120,261,146,16.791,269,"4,516.60","2,619",1,FALSE,midnightblue
Mewtwo,Psychic,,Confusion,Psychic,Hyper Beam,Normal,212,300,180,16.79,477.4,"8,016.40","3,982",1,TRUE,deeppink1
Deoxys (Normal Forme),Psychic,,Zen Headbutt,Psychic,Hyper Beam,Normal,100,345,100,16.757,173.9,"2,913.20","2,749",3,TRUE,deeppink1
Electivire,Electric,,Thunder Shock,Electric,Wild Charge,Electric,150,249,166,16.735,405.2,"6,780.30","3,079",4,FALSE,yellow2
Darkrai,Dark,,Feint Attack,Dark,Shadow Ball,Ghost,140,285,180,16.714,462,"7,722.10","3,739",4,TRUE,gray0
Dragonite,Dragon,Flying,Dragon Breath,Dragon,Outrage,Dragon,182,263,199,16.714,493.6,"8,249.10","3,581",1,FALSE,cornflowerblue
Gengar,Ghost,Poison,Sucker Punch,Dark,Shadow Ball,Ghost,120,261,146,16.703,267.6,"4,469.30","2,619",1,FALSE,midnightblue
Palkia,Water,Dragon,Dragon Breath,Dragon,Hydro Pump,Water,180,308,235,16.673,542.9,"9,051.40","3,991",4,TRUE,dodgerblue2
Rampardos,Rock,,Smack Down,Rock,Flamethrower,Fire,194,295,118,16.648,335.2,"5,581.10","3,298",4,FALSE,sienna4
Mewtwo,Psychic,,Confusion,Psychic,Focus Blast,Fighting,212,300,180,16.621,472.6,"7,855.80","3,982",1,TRUE,deeppink1
Deoxys (Normal Forme),Psychic,,Charge Beam,Electric,Thunderbolt,Electric,100,345,100,16.536,171.6,"2,836.90","2,749",3,TRUE,deeppink1
Mewtwo,Psychic,,Confusion,Psychic,Flamethrower,Fire,212,300,180,16.485,468.8,"7,728","3,982",1,TRUE,deeppink1
Mewtwo,Psychic,,Confusion,Psychic,Psychic,Psychic,212,300,180,16.474,468.5,"7,717.40","3,982",1,TRUE,deeppink1
Dragonite,Dragon,Flying,Dragon Tail,Dragon,Dragon Claw,Dragon,182,263,199,16.391,484,"7,933.80","3,581",1,FALSE,cornflowerblue
Darkrai,Dark,,Snarl,Dark,Dark Pulse,Dark,140,285,180,16.354,452.1,"7,393.10","3,739",4,TRUE,gray0
Rayquaza,Dragon,Flying,Dragon Tail,Dragon,Aerial Ace,Flying,210,312,180,16.345,432.3,"7,065.40","3,645",3,TRUE,cornflowerblue
Dragonite,Dragon,Flying,Dragon Breath,Dragon,Draco Meteor,Dragon,182,263,199,16.318,481.9,"7,863.50","3,581",1,FALSE,cornflowerblue
Breloom,Grass,Fighting,Counter,Fighting,Dynamic Punch,Fighting,120,241,155,16.308,256.7,"4,185.80","2,407",3,FALSE,green2
Garchomp,Dragon,Ground,Mud Shot,Ground,Outrage,Dragon,216,261,188,16.303,597.7,"9,744.40","3,962",4,FALSE,cornflowerblue
Darkrai,Dark,,Feint Attack,Dark,Dark Pulse,Dark,140,285,180,16.284,450.1,"7,330","3,739",4,TRUE,gray0
Azelf,Psychic,,Confusion,Psychic,Future Sight,Psychic,150,270,140,16.275,367.5,"5,980.90","3,210",4,TRUE,deeppink1
Mewtwo,Psychic,,Confusion,Psychic,Ice Beam,Ice,212,300,180,16.238,461.8,"7,498.30","3,982",1,TRUE,deeppink1
Moltres,Fire,Flying,Ember,Fire,Sky Attack,Flying,180,251,179,16.237,437.3,"7,099.80","3,272",1,TRUE,firebrick
Mewtwo,Psychic,,Psycho Cut,Psychic,Thunderbolt,Electric,212,300,180,16.13,458.7,"7,398.80","3,982",1,TRUE,deeppink1
Moltres,Fire,Flying,Fire Spin,Fire,Overheat,Fire,180,251,179,16.127,434.3,"7,004.10","3,272",1,TRUE,firebrick
Machamp,Fighting,,Counter,Fighting,Dynamic Punch,Fighting,180,234,169,16.115,386,"6,219.90","2,889",1,FALSE,chocolate2
Dragonite,Dragon,Flying,Steel Wing,Steel,Outrage,Dragon,182,263,199,16.079,474.8,"7,634.80","3,581",1,FALSE,cornflowerblue
Azelf,Psychic,,Extrasensory,Psychic,Future Sight,Psychic,150,270,140,16.074,362.9,"5,833.50","3,210",4,TRUE,deeppink1
Shaymin (Sky Forme),Grass,Flying,Zen Headbutt,Psychic,Grass Knot,Grass,200,261,150,16.074,484.6,"7,788.50","3,592",4,TRUE,green2
Mamoswine,Ice,Ground,Powder Snow,Ice,Avalanche,Ice,220,247,155,16.016,459.9,"7,365.50","3,328",4,FALSE,cyan2
Rampardos,Rock,,Zen Headbutt,Psychic,Outrage,Dragon,194,295,118,15.994,322.1,"5,150.80","3,298",4,FALSE,sienna4
Raikou,Electric,,Thunder Shock,Electric,Wild Charge,Electric,180,241,194,15.993,487,"7,787.80","3,349",2,TRUE,yellow2
Latios,Dragon,Psychic,Dragon Breath,Dragon,Dragon Claw,Dragon,160,268,213,15.991,471.9,"7,545.90","3,644",3,TRUE,cornflowerblue
Mewtwo,Psychic,,Psycho Cut,Psychic,Hyper Beam,Normal,212,300,180,15.981,454.4,"7,262.60","3,982",1,TRUE,deeppink1
Alakazam,Psychic,,Confusion,Psychic,Shadow Ball,Ghost,110,271,178,15.975,289.6,"4,626.70","2,887",1,FALSE,deeppink1
Shaymin (Sky Forme),Grass,Flying,Hidden Power,Normal,Grass Knot,Grass,200,261,150,15.967,481.3,"7,685.30","3,592",4,TRUE,green2
Dialga,Steel,Dragon,Metal Claw,Steel,Iron Head,Steel,200,302,235,15.966,548.4,"8,755.60","4,029",4,TRUE,darkslategray4
Salamence,Dragon,Flying,Fire Fang,Fire,Draco Meteor,Dragon,190,277,160,15.966,415.7,"6,636.20","3,532",3,FALSE,cornflowerblue
Weavile,Dark,Ice,Feint Attack,Dark,Avalanche,Ice,140,243,165,15.951,385,"6,141.70","3,005",4,FALSE,gray0
Salamence,Dragon,Flying,Dragon Tail,Dragon,Hydro Pump,Water,190,277,160,15.941,415,"6,615.80","3,532",3,FALSE,cornflowerblue
Dialga,Steel,Dragon,Dragon Breath,Dragon,Iron Head,Steel,200,302,235,15.877,545.3,"8,658.60","4,029",4,TRUE,darkslategray4
Gengar,Ghost,Poison,Hex,Ghost,Sludge Bomb,Poison,120,261,146,15.873,254.3,"4,036.40","2,619",1,FALSE,midnightblue
Dragonite,Dragon,Flying,Dragon Breath,Dragon,Dragon Claw,Dragon,182,263,199,15.867,468.6,"7,434.70","3,581",1,FALSE,cornflowerblue
Roserade,Grass,Poison,Poison Jab,Poison,Sludge Bomb,Poison,120,243,200,15.849,374,"5,927.10","2,971",4,FALSE,green2
Machamp,Fighting,,Karate Chop,Fighting,Dynamic Punch,Fighting,180,234,169,15.829,379.1,"6,001.20","2,889",1,FALSE,chocolate2
Dragonite,Dragon,Flying,Dragon Tail,Dragon,Hurricane,Flying,182,263,199,15.808,466.8,"7,379.60","3,581",1,FALSE,cornflowerblue
Kyogre,Water,,Waterfall,Water,Hydro Pump,Water,200,297,268,15.786,574.1,"9,062.30","4,074",3,TRUE,dodgerblue2
Gengar,Ghost,Poison,Sucker Punch,Dark,Sludge Bomb,Poison,120,261,146,15.782,252.8,"3,990.40","2,619",1,FALSE,midnightblue
Blaziken,Fire,Fighting,Counter,Fighting,Overheat,Fire,160,240,140,15.76,298.6,"4,705.60","2,631",3,FALSE,firebrick
Mamoswine,Ice,Ground,Mud Slap,Ground,Avalanche,Ice,220,247,155,15.756,452.4,"7,128.80","3,328",4,FALSE,cyan2
Charizard,Fire,Flying,Fire Spin,Fire,Blast Burn,Fire,156,223,168,15.741,356.8,"5,616.40","2,686",1,FALSE,firebrick
Mewtwo,Psychic,,Psycho Cut,Psychic,Focus Blast,Fighting,212,300,180,15.739,447.6,"7,044.30","3,982",1,TRUE,deeppink1
Dragonite,Dragon,Flying,Dragon Tail,Dragon,Dragon Pulse,Dragon,182,263,199,15.714,464,"7,291.90","3,581",1,FALSE,cornflowerblue
Magnezone,Electric,Steel,Spark,Electric,Wild Charge,Electric,140,238,224,15.677,447.6,"7,017","3,205",4,FALSE,yellow2
Zapdos,Electric,Flying,Thunder Shock,Electric,Thunderbolt,Electric,180,253,179,15.671,430.5,"6,746.20","3,330",1,TRUE,yellow2
Zapdos,Electric,Flying,Thunder Shock,Electric,Thunderbolt,Electric,180,253,179,15.671,430.5,"6,746.20","3,330",1,TRUE,yellow2
Alakazam,Psychic,,Confusion,Psychic,Future Sight,Psychic,110,271,178,15.662,284,"4,447.30","2,887",1,FALSE,deeppink1
Luxray,Electric,,Spark,Electric,Wild Charge,Electric,160,232,158,15.642,380.5,"5,952.10","2,888",4,FALSE,yellow2
Electivire,Electric,,Low Kick,Fighting,Wild Charge,Electric,150,249,166,15.561,376.7,"5,862.40","3,079",4,FALSE,yellow2
Moltres,Fire,Flying,Fire Spin,Fire,Flamethrower,Fire,180,251,179,15.537,418.4,"6,500.60","3,272",1,TRUE,firebrick
Roserade,Grass,Poison,Poison Jab,Poison,Solar Beam,Grass,120,243,200,15.526,366.3,"5,687.70","2,971",4,FALSE,green2
Alakazam,Psychic,,Psycho Cut,Psychic,Shadow Ball,Ghost,110,271,178,15.518,281.3,"4,366","2,887",1,FALSE,deeppink1
Mewtwo,Psychic,,Psycho Cut,Psychic,Flamethrower,Fire,212,300,180,15.514,441.1,"6,843.90","3,982",1,TRUE,deeppink1
Charizard,Fire,Flying,Wing Attack,Flying,Blast Burn,Fire,156,223,168,15.507,351.5,"5,450.10","2,686",1,FALSE,firebrick
Mewtwo,Psychic,,Psycho Cut,Psychic,Psychic,Psychic,212,300,180,15.498,440.7,"6,830.10","3,982",1,TRUE,deeppink1
Palkia,Water,Dragon,Dragon Tail,Dragon,Fire Blast,Fire,180,308,235,15.473,503.8,"7,796","3,991",4,TRUE,dodgerblue2
Flareon,Fire,,Fire Spin,Fire,Overheat,Fire,130,246,208,15.456,340.6,"5,264.10","2,904",1,FALSE,firebrick
Rayquaza,Dragon,Flying,Air Slash,Flying,Aerial Ace,Flying,210,312,180,15.439,408.3,"6,304.10","3,645",3,TRUE,cornflowerblue
Mewtwo,Psychic,,Psycho Cut,Psychic,Ice Beam,Ice,212,300,180,15.421,438.5,"6,762.50","3,982",1,TRUE,deeppink1
Entei,Fire,,Fire Spin,Fire,Overheat,Fire,230,235,168,15.418,500.7,"7,719.70","3,377",2,TRUE,firebrick
Garchomp,Dragon,Ground,Dragon Tail,Dragon,Earthquake,Ground,216,261,188,15.403,564.8,"8,699.10","3,962",4,FALSE,cornflowerblue
Haunter,Ghost,Poison,Lick,Ghost,Shadow Ball,Ghost,90,223,108,15.389,142.4,"2,191.40","1,716",1,FALSE,midnightblue
Dragonite,Dragon,Flying,Steel Wing,Steel,Draco Meteor,Dragon,182,263,199,15.379,454.1,"6,984.10","3,581",1,FALSE,cornflowerblue
Deoxys (Normal Forme),Psychic,,Zen Headbutt,Psychic,Psycho Boost,Psychic,100,345,100,15.378,159.5,"2,453.30","2,749",3,TRUE,deeppink1
Latios,Dragon,Psychic,Zen Headbutt,Psychic,Dragon Claw,Dragon,160,268,213,15.372,453.7,"6,973.90","3,644",3,TRUE,cornflowerblue
Darkrai,Dark,,Snarl,Dark,Focus Blast,Fighting,140,285,180,15.369,424.8,"6,529.20","3,739",4,TRUE,gray0
Blaziken,Fire,Fighting,Fire Spin,Fire,Overheat,Fire,160,240,140,15.363,291.1,"4,471.70","2,631",3,FALSE,firebrick
Dragonite,Dragon,Flying,Dragon Tail,Dragon,Hyper Beam,Normal,182,263,199,15.362,453.6,"6,969","3,581",1,FALSE,cornflowerblue
Roserade,Grass,Poison,Razor Leaf,Grass,Sludge Bomb,Poison,120,243,200,15.362,362.5,"5,568","2,971",4,FALSE,green2
Salamence,Dragon,Flying,Dragon Tail,Dragon,Fire Blast,Fire,190,277,160,15.352,399.7,"6,135.80","3,532",3,FALSE,cornflowerblue
Espeon,Psychic,,Confusion,Psychic,Future Sight,Psychic,130,261,181,15.349,322.8,"4,954.90","3,000",2,FALSE,deeppink1
Darkrai,Dark,,Feint Attack,Dark,Focus Blast,Fighting,140,285,180,15.346,424.2,"6,509.60","3,739",4,TRUE,gray0
Weavile,Dark,Ice,Ice Shard,Ice,Avalanche,Ice,140,243,165,15.335,370.1,"5,676.20","3,005",4,FALSE,gray0
Haunter,Ghost,Poison,Shadow Claw,Ghost,Shadow Ball,Ghost,90,223,108,15.305,141.6,"2,167.60","1,716",1,FALSE,midnightblue
Banette,Ghost,,Shadow Claw,Ghost,Shadow Ball,Ghost,128,218,130,15.298,215.6,"3,297.80","2,073",3,FALSE,midnightblue
Dragonite,Dragon,Flying,Dragon Breath,Dragon,Dragon Pulse,Dragon,182,263,199,15.261,450.7,"6,877.60","3,581",1,FALSE,cornflowerblue
Latios,Dragon,Psychic,Dragon Breath,Dragon,Solar Beam,Grass,160,268,213,15.258,450.3,"6,870.10","3,644",3,TRUE,cornflowerblue
Alakazam,Psychic,,Psycho Cut,Psychic,Future Sight,Psychic,110,271,178,15.253,276.5,"4,218.20","2,887",1,FALSE,deeppink1
Zapdos,Electric,Flying,Thunder Shock,Electric,Discharge,Electric,180,253,179,15.225,418.2,"6,367.40","3,330",1,TRUE,yellow2
Zapdos,Electric,Flying,Thunder Shock,Electric,Discharge,Electric,180,253,179,15.225,418.2,"6,367.40","3,330",1,TRUE,yellow2
Blaziken,Fire,Fighting,Counter,Fighting,Focus Blast,Fighting,160,240,140,15.215,288.3,"4,385.70","2,631",3,FALSE,firebrick
Alolan Exeggutor,Grass,Dragon,Dragon Tail,Dragon,Solar Beam,Grass,190,230,158,15.209,374.3,"5,693.20","2,881",Alolan,FALSE,green2
Dragonite,Dragon,Flying,Dragon Breath,Dragon,Hurricane,Flying,182,263,199,15.209,449.1,"6,830.50","3,581",1,FALSE,cornflowerblue
Magnezone,Electric,Steel,Charge Beam,Electric,Wild Charge,Electric,140,238,224,15.198,433.9,"6,594","3,205",4,FALSE,yellow2
Entei,Fire,,Fire Fang,Fire,Overheat,Fire,230,235,168,15.196,493.5,"7,499","3,377",2,TRUE,firebrick
Cacturne,Grass,Dark,Sucker Punch,Dark,Grass Knot,Grass,140,221,120,15.187,212.4,"3,225.30","2,092",3,FALSE,green2
Hariyama,Fighting,,Counter,Fighting,Dynamic Punch,Fighting,288,209,120,15.168,411.4,"6,240.70","2,765",3,FALSE,chocolate2
Dragonite,Dragon,Flying,Steel Wing,Steel,Dragon Claw,Dragon,182,263,199,15.157,447.6,"6,784.10","3,581",1,FALSE,cornflowerblue
Kyogre,Water,,Dragon Tail,Dragon,Hydro Pump,Water,200,297,268,15.153,551.1,"8,350.30","4,074",3,TRUE,dodgerblue2
Jirachi,Steel,Psychic,Confusion,Psychic,Doom Desire,Steel,200,210,200,15.141,508.3,"7,696","3,090",3,TRUE,darkslategray4
Weavile,Dark,Ice,Feint Attack,Dark,Foul Play,Dark,140,243,165,15.127,365.1,"5,523","3,005",4,FALSE,gray0
Porygon-Z,Normal,,Hidden Power,Normal,Hyper Beam,Normal,170,264,149,15.096,368.2,"5,558","3,266",4,FALSE,ivory2
Shaymin (Sky Forme),Grass,Flying,Zen Headbutt,Psychic,Solar Beam,Grass,200,261,150,15.077,454.5,"6,852.30","3,592",4,TRUE,green2
Glaceon,Ice,,Frost Breath,Ice,Avalanche,Ice,130,238,216,15.075,409.7,"6,175.60","3,126",4,FALSE,cyan2
Charizard,Fire,Flying,Air Slash,Flying,Blast Burn,Fire,156,223,168,15.034,340.8,"5,123.20","2,686",1,FALSE,firebrick
Luxray,Electric,,Snarl,Dark,Wild Charge,Electric,160,232,158,15.033,365.7,"5,498.10","2,888",4,FALSE,yellow2
Regigigas,Normal,,Zen Headbutt,Psychic,Avalanche,Ice,220,315,220,15.032,553.9,"8,327.20","4,346",4,TRUE,ivory2
Zapdos,Electric,Flying,Charge Beam,Electric,Thunderbolt,Electric,180,253,179,15.024,412.7,"6,201.10","3,330",1,TRUE,yellow2
Charizard,Fire,Flying,Ember,Fire,Blast Burn,Fire,156,223,168,15.02,340.4,"5,113.50","2,686",1,FALSE,firebrick
Flareon,Fire,,Fire Spin,Fire,Flamethrower,Fire,130,246,208,15.019,331,"4,971.20","2,904",1,FALSE,firebrick
Alakazam,Psychic,,Confusion,Psychic,Dazzling Gleam,Fairy,110,271,178,15.009,272.1,"4,084.30","2,887",1,FALSE,deeppink1
Moltres,Fire,Flying,Ember,Fire,Overheat,Fire,180,251,179,14.991,403.7,"6,051.60","3,272",1,TRUE,firebrick
Exeggutor,Grass,Psychic,Confusion,Psychic,Solar Beam,Grass,190,233,165,14.985,375.2,"5,622.30","2,942",1,FALSE,green2
Roserade,Grass,Poison,Razor Leaf,Grass,Solar Beam,Grass,120,243,200,14.971,353.2,"5,288.50","2,971",4,FALSE,green2
Lucario,Fighting,Steel,Counter,Fighting,Shadow Ball,Ghost,140,236,140,14.958,308.6,"4,616.40","2,703",4,FALSE,chocolate2
Heatran,Fire,Steel,Fire Spin,Fire,Iron Head,Steel,182,251,212,14.938,529.5,"7,909.20","3,754",4,TRUE,firebrick
Exeggutor,Grass,Psychic,Extrasensory,Psychic,Solar Beam,Grass,190,233,165,14.935,374,"5,585.10","2,942",1,FALSE,green2
Heatran,Fire,Steel,Fire Spin,Fire,Fire Blast,Fire,182,251,212,14.931,529.2,"7,901.50","3,754",4,TRUE,firebrick
Raikou,Electric,,Thunder Shock,Electric,Thunderbolt,Electric,180,241,194,14.905,453.8,"6,764.10","3,349",2,TRUE,yellow2
Toxicroak,Poison,Fighting,Counter,Fighting,Dynamic Punch,Fighting,166,211,130,14.9,321.4,"4,788.30","2,488",4,FALSE,purple3
Gardevoir,Psychic,Fairy,Confusion,Psychic,Dazzling Gleam,Fairy,136,237,218,14.888,366.6,"5,458.50","2,964",3,FALSE,deeppink1
Breloom,Grass,Fighting,Counter,Fighting,Seed Bomb,Grass,120,241,155,14.881,234.2,"3,485.50","2,407",3,FALSE,green2
Kyogre,Water,,Waterfall,Water,Blizzard,Ice,200,297,268,14.874,540.9,"8,044.80","4,074",3,TRUE,dodgerblue2
Rampardos,Rock,,Zen Headbutt,Psychic,Flamethrower,Fire,194,295,118,14.854,299.1,"4,442.90","3,298",4,FALSE,sienna4
Palkia,Water,Dragon,Dragon Breath,Dragon,Fire Blast,Fire,180,308,235,14.852,483.6,"7,182.50","3,991",4,TRUE,dodgerblue2
Glaceon,Ice,,Ice Shard,Ice,Avalanche,Ice,130,238,216,14.844,403.4,"5,988.40","3,126",4,FALSE,cyan2
Moltres,Fire,Flying,Fire Spin,Fire,Fire Blast,Fire,180,251,179,14.842,399.7,"5,932.60","3,272",1,TRUE,firebrick
Honchkrow,Dark,Flying,Snarl,Dark,Dark Pulse,Dark,200,243,104,14.834,291.5,"4,324.40","2,711",4,FALSE,gray0
Shaymin (Sky Forme),Grass,Flying,Hidden Power,Normal,Solar Beam,Grass,200,261,150,14.826,447,"6,626.60","3,592",4,TRUE,green2
Zapdos,Electric,Flying,Thunder Shock,Electric,Zap Cannon,Electric,180,253,179,14.823,407.2,"6,035.90","3,330",1,TRUE,yellow2
Zapdos,Electric,Flying,Thunder Shock,Electric,Zap Cannon,Electric,180,253,179,14.823,407.2,"6,035.90","3,330",1,TRUE,yellow2
Espeon,Psychic,,Confusion,Psychic,Last Resort,Normal,130,261,181,14.815,311.6,"4,616.10","3,000",2,FALSE,deeppink1
Blaziken,Fire,Fighting,Fire Spin,Fire,Focus Blast,Fighting,160,240,140,14.803,280.4,"4,151.40","2,631",3,FALSE,firebrick
Dragonite,Dragon,Flying,Dragon Breath,Dragon,Hyper Beam,Normal,182,263,199,14.794,436.9,"6,462.80","3,581",1,FALSE,cornflowerblue
Breloom,Grass,Fighting,Bullet Seed,Grass,Dynamic Punch,Fighting,120,241,155,14.763,232.4,"3,430.20","2,407",3,FALSE,green2
Entei,Fire,,Fire Spin,Fire,Flamethrower,Fire,230,235,168,14.761,479.3,"7,075.30","3,377",2,TRUE,firebrick
Raikou,Electric,,Volt Switch,Electric,Wild Charge,Electric,180,241,194,14.754,449.2,"6,628.40","3,349",2,TRUE,yellow2
Regigigas,Normal,,Rock Smash,Fighting,Avalanche,Ice,220,315,220,14.754,543.7,"8,021.70","4,346",4,TRUE,ivory2
Haunter,Ghost,Poison,Shadow Claw,Ghost,Sludge Bomb,Poison,90,223,108,14.736,136.4,"2,009.40","1,716",1,FALSE,midnightblue
Haunter,Ghost,Poison,Lick,Ghost,Sludge Bomb,Poison,90,223,108,14.714,136.2,"2,003.50","1,716",1,FALSE,midnightblue
Zapdos,Electric,Flying,Charge Beam,Electric,Discharge,Electric,180,253,179,14.712,404.1,"5,945.60","3,330",1,TRUE,yellow2
Toxicroak,Poison,Fighting,Counter,Fighting,Sludge Bomb,Poison,166,211,130,14.704,317.1,"4,663","2,488",4,FALSE,purple3
Magmortar,Fire,,Fire Spin,Fire,Fire Punch,Fire,150,247,183,14.696,373.8,"5,493.70","3,132",4,FALSE,firebrick
Machamp,Fighting,,Bullet Punch,Steel,Dynamic Punch,Fighting,180,234,169,14.683,351.7,"5,163.90","2,889",1,FALSE,chocolate2
Jynx,Ice,Psychic,Confusion,Psychic,Avalanche,Ice,130,223,175,14.679,291,"4,271.20","2,512",1,FALSE,cyan2
Latios,Dragon,Psychic,Dragon Breath,Dragon,Psychic,Psychic,160,268,213,14.659,432.6,"6,341.80","3,644",3,TRUE,cornflowerblue
Venusaur,Grass,Poison,Vine Whip,Grass,Frenzy Plant,Grass,160,198,196,14.651,379,"5,552.40","2,568",1,FALSE,green2
Dragonite,Dragon,Flying,Steel Wing,Steel,Dragon Pulse,Dragon,182,263,199,14.649,432.6,"6,337","3,581",1,FALSE,cornflowerblue
Gengar,Ghost,Poison,Shadow Claw,Ghost,Sludge Wave,Poison,120,261,146,14.649,234.7,"3,438","2,619",1,FALSE,midnightblue
Deoxys (Normal Forme),Psychic,,Charge Beam,Electric,Hyper Beam,Normal,100,345,100,14.642,151.9,"2,224.30","2,749",3,TRUE,deeppink1
Magmortar,Fire,,Fire Spin,Fire,Fire Blast,Fire,150,247,183,14.636,372.3,"5,448.70","3,132",4,FALSE,firebrick
Gengar,Ghost,Poison,Shadow Claw,Ghost,Focus Blast,Fighting,120,261,146,14.634,234.4,"3,430.60","2,619",1,FALSE,midnightblue
Garchomp,Dragon,Ground,Dragon Tail,Dragon,Fire Blast,Fire,216,261,188,14.628,536.3,"7,845.70","3,962",4,FALSE,cornflowerblue
Groudon,Ground,,Dragon Tail,Dragon,Solar Beam,Grass,200,297,268,14.626,531.9,"7,779.30","4,074",3,TRUE,peru
Breloom,Grass,Fighting,Counter,Fighting,Sludge Bomb,Poison,120,241,155,14.602,229.8,"3,356","2,407",3,FALSE,green2
Sceptile,Grass,,Fury Cutter,Bug,Leaf Blade,Grass,140,223,165,14.595,306.1,"4,468.20","2,584",3,FALSE,green2
